"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2023","UHF 42","402","4","West Queens","13.2","9.0","21.0"
"Annual Average 2023","UHF 42","403","4","Flushing - Clearview","9.1","7.5","11.7"
"Annual Average 2023","UHF 42","404","4","Bayside - Little Neck","8.3","7.1","9.9"
"Annual Average 2023","UHF 42","405","4","Ridgewood - Forest Hills","10.4","7.9","13.7"
"Annual Average 2023","UHF 42","406","4","Fresh Meadows","8.6","7.6","10.0"
"Annual Average 2023","UHF 42","407","4","Southwest Queens","8.9","7.4","11.0"
"Annual Average 2023","UHF 42","408","4","Jamaica","9.8","7.6","13.8"
"Annual Average 2023","UHF 42","409","4","Southeast Queens","8.4","7.2","9.6"
"Annual Average 2023","UHF 42","410","4","Rockaways","7.1","6.2","8.3"
"Annual Average 2023","UHF 42","501","4","Port Richmond","9.3","8.1","10.8"
"Annual Average 2023","UHF 42","502","4","Stapleton - St. George","8.6","7.3","10.2"
"Annual Average 2023","UHF 42","503","4","Willowbrook","8.0","6.7","9.9"
"Annual Average 2023","UHF 42","504","4","South Beach - Tottenville","6.8","6.1","7.6"
"Annual Average 2022","UHF 42","101","4","Kingsbridge - Riverdale","9.2","7.9","11.1"
"Annual Average 2022","UHF 42","102","4","Northeast Bronx","9.4","8.3","11.0"
"Annual Average 2022","UHF 42","103","4","Fordham - Bronx Pk","9.8","8.2","11.2"
"Annual Average 2022","UHF 42","104","4","Pelham - Throgs Neck","10.6","8.1","14.0"
"Annual Average 2022","UHF 42","105","4","Crotona -Tremont","12.0","9.9","14.5"
"Annual Average 2022","UHF 42","106","4","High Bridge - Morrisania","12.0","10.2","14.5"
"Annual Average 2022","UHF 42","107","4","Hunts Point - Mott Haven","14.2","8.3","20.2"
"Annual Average 2022","UHF 42","201","4","Greenpoint","15.9","13.5","19.5"
"Annual Average 2022","UHF 42","202","4","Downtown - Heights - Slope","14.2","10.9","18.0"
"Annual Average 2022","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","11.8","10.3","13.7"
"Annual Average 2022","UHF 42","204","4","East New York","11.7","9.1","14.7"
"Annual Average 2022","UHF 42","205","4","Sunset Park","14.8","8.5","23.7"
"Annual Average 2022","UHF 42","206","4","Borough Park","10.1","9.3","11.1"
"Annual Average 2022","UHF 42","207","4","East Flatbush - Flatbush","10.2","9.1","11.4"
"Annual Average 2022","UHF 42","208","4","Canarsie - Flatlands","9.3","7.6","11.7"
"Annual Average 2022","UHF 42","209","4","Bensonhurst - Bay Ridge","9.4","8.3","11.5"
"Annual Average 2022","UHF 42","210","4","Coney Island - Sheepshead Bay","8.9","8.0","9.7"
"Annual Average 2022","UHF 42","211","4","Williamsburg - Bushwick","14.8","10.6","20.7"
"Annual Average 2022","UHF 42","301","4","Washington Heights","12.4","9.0","18.7"
"Annual Average 2022","UHF 42","302","4","Central Harlem - Morningside Heights","11.9","10.6","13.6"
"Annual Average 2022","UHF 42","303","4","East Harlem","11.9","11.0","12.8"
"Annual Average 2022","UHF 42","304","4","Upper West Side","13.5","11.5","15.0"
"Annual Average 2022","UHF 42","305","4","Upper East Side","13.3","11.4","15.2"
"Annual Average 2022","UHF 42","306","4","Chelsea - Clinton","15.9","14.0","17.7"
"Annual Average 2022","UHF 42","307","4","Gramercy Park - Murray Hill","15.0","13.0","16.6"
"Annual Average 2022","UHF 42","308","4","Greenwich Village - SoHo","14.7","13.0","16.4"
"Annual Average 2022","UHF 42","309","4","Union Square - Lower East Side","11.9","10.4","14.1"
"Annual Average 2022","UHF 42","310","4","Lower Manhattan","13.5","12.3","14.7"
"Annual Average 2022","UHF 42","401","4","Long Island City - Astoria","14.1","10.3","19.2"
"Annual Average 2022","UHF 42","402","4","West Queens","13.6","9.3","22.1"
"Annual Average 2022","UHF 42","403","4","Flushing - Clearview","9.5","8.1","11.7"
"Annual Average 2022","UHF 42","404","4","Bayside - Little Neck","9.1","7.8","10.8"
"Annual Average 2022","UHF 42","405","4","Ridgewood - Forest Hills","10.6","8.3","13.5"
"Annual Average 2022","UHF 42","406","4","Fresh Meadows","9.2","8.1","10.7"
"Annual Average 2022","UHF 42","407","4","Southwest Queens","9.4","8.0","11.2"
"Annual Average 2022","UHF 42","408","4","Jamaica","10.4","8.3","14.0"
"Annual Average 2022","UHF 42","409","4","Southeast Queens","9.2","8.1","10.2"
"Annual Average 2022","UHF 42","410","4","Rockaways","8.0","7.0","9.1"
"Annual Average 2022","UHF 42","501","4","Port Richmond","8.6","7.7","9.8"
"Annual Average 2022","UHF 42","502","4","Stapleton - St. George","8.3","7.2","9.7"
"Annual Average 2022","UHF 42","503","4","Willowbrook","7.8","6.7","9.6"
"Annual Average 2022","UHF 42","504","4","South Beach - Tottenville","7.0","6.5","7.6"
"Annual Average 2021","UHF 42","101","4","Kingsbridge - Riverdale","8.5","6.1","11.6"
"Annual Average 2021","UHF 42","102","4","Northeast Bronx","10.0","8.7","11.4"
"Annual Average 2021","UHF 42","103","4","Fordham - Bronx Pk","9.7","7.3","11.8"
"Annual Average 2021","UHF 42","104","4","Pelham - Throgs Neck","11.1","7.6","14.8"
