"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Summer 2022","UHF 42","102","4","Northeast Bronx","32.2","30.9","33.3"
"Summer 2022","UHF 42","103","4","Fordham - Bronx Pk","31.7","30.1","32.9"
"Summer 2022","UHF 42","104","4","Pelham - Throgs Neck","33.3","31.6","34.9"
"Summer 2022","UHF 42","105","4","Crotona -Tremont","31.4","29.8","32.7"
"Summer 2022","UHF 42","106","4","High Bridge - Morrisania","31.5","30.1","32.7"
"Summer 2022","UHF 42","107","4","Hunts Point - Mott Haven","32.9","31.2","35.9"
"Summer 2022","UHF 42","201","4","Greenpoint","32.4","30.8","34.0"
"Summer 2022","UHF 42","202","4","Downtown - Heights - Slope","32.3","30.5","34.0"
"Summer 2022","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","33.7","32.4","34.9"
"Summer 2022","UHF 42","204","4","East New York","34.4","33.1","35.5"
"Summer 2022","UHF 42","205","4","Sunset Park","33.7","31.7","35.5"
"Summer 2022","UHF 42","206","4","Borough Park","35.2","34.0","36.3"
"Summer 2022","UHF 42","207","4","East Flatbush - Flatbush","34.9","34.0","35.7"
"Summer 2022","UHF 42","208","4","Canarsie - Flatlands","36.1","34.4","38.1"
"Summer 2022","UHF 42","209","4","Bensonhurst - Bay Ridge","35.8","34.0","37.3"
"Summer 2022","UHF 42","210","4","Coney Island - Sheepshead Bay","37.1","35.8","38.5"
"Summer 2022","UHF 42","211","4","Williamsburg - Bushwick","33.2","32.0","34.2"
"Summer 2022","UHF 42","301","4","Washington Heights","29.9","26.8","32.0"
"Summer 2022","UHF 42","302","4","Central Harlem - Morningside Heights","30.9","29.5","32.0"
"Summer 2022","UHF 42","303","4","East Harlem","31.6","30.6","32.6"
"Summer 2022","UHF 42","304","4","Upper West Side","29.9","28.4","31.0"
"Summer 2022","UHF 42","305","4","Upper East Side","30.8","29.3","32.6"
"Summer 2022","UHF 42","306","4","Chelsea - Clinton","28.8","27.0","31.0"
"Summer 2022","UHF 42","307","4","Gramercy Park - Murray Hill","28.9","26.7","31.1"
"Summer 2022","UHF 42","308","4","Greenwich Village - SoHo","30.3","29.2","31.3"
"Summer 2022","UHF 42","309","4","Union Square - Lower East Side","31.2","29.8","32.7"
"Summer 2022","UHF 42","310","4","Lower Manhattan","30.3","28.9","31.7"
"Summer 2022","UHF 42","401","4","Long Island City - Astoria","32.9","31.5","34.2"
"Summer 2022","UHF 42","402","4","West Queens","33.6","31.9","34.9"
"Summer 2022","UHF 42","403","4","Flushing - Clearview","34.5","33.2","35.5"
"Summer 2022","UHF 42","404","4","Bayside - Little Neck","33.4","31.3","35.0"
"Summer 2022","UHF 42","405","4","Ridgewood - Forest Hills","34.2","32.9","35.3"
"Summer 2022","UHF 42","406","4","Fresh Meadows","34.2","32.9","35.3"
"Summer 2022","UHF 42","407","4","Southwest Queens","35.2","33.8","36.4"
"Summer 2022","UHF 42","408","4","Jamaica","34.4","33.2","35.4"
"Summer 2022","UHF 42","409","4","Southeast Queens","34.7","33.5","35.7"
"Summer 2022","UHF 42","410","4","Rockaways","37.5","35.9","39.1"
"Summer 2022","UHF 42","501","4","Port Richmond","34.2","32.9","35.5"
"Summer 2022","UHF 42","502","4","Stapleton - St. George","34.8","32.6","36.7"
"Summer 2022","UHF 42","503","4","Willowbrook","34.8","31.6","37.3"
"Summer 2022","UHF 42","504","4","South Beach - Tottenville","36.0","33.2","38.1"
"Summer 2021","UHF 42","101","4","Kingsbridge - Riverdale","29.0","27.6","30.3"
"Summer 2021","UHF 42","102","4","Northeast Bronx","30.4","29.2","31.3"
"Summer 2021","UHF 42","103","4","Fordham - Bronx Pk","30.0","28.9","31.1"
"Summer 2021","UHF 42","104","4","Pelham - Throgs Neck","30.3","28.8","31.9"
"Summer 2021","UHF 42","105","4","Crotona -Tremont","29.0","27.6","30.1"
"Summer 2021","UHF 42","106","4","High Bridge - Morrisania","29.2","27.7","30.4"
"Summer 2021","UHF 42","107","4","Hunts Point - Mott Haven","29.5","27.4","32.5"
"Summer 2021","UHF 42","201","4","Greenpoint","27.8","26.1","29.5"
"Summer 2021","UHF 42","202","4","Downtown - Heights - Slope","28.7","27.3","30.2"
"Summer 2021","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","30.3","29.0","31.5"
"Summer 2021","UHF 42","204","4","East New York","31.1","29.8","32.3"
"Summer 2021","UHF 42","205","4","Sunset Park","29.0","27.1","30.8"
"Summer 2021","UHF 42","206","4","Borough Park","30.5","29.4","31.4"
"Summer 2021","UHF 42","207","4","East Flatbush - Flatbush","30.9","29.9","31.7"
"Summer 2021","UHF 42","208","4","Canarsie - Flatlands","32.3","30.2","34.7"
"Summer 2021","UHF 42","209","4","Bensonhurst - Bay Ridge","30.4","28.8","31.9"
"Summer 2021","UHF 42","210","4","Coney Island - Sheepshead Bay","32.0","30.8","33.5"
"Summer 2021","UHF 42","211","4","Williamsburg - Bushwick","29.3","26.7","31.0"
"Summer 2021","UHF 42","301","4","Washington Heights","27.9","25.2","30.3"
"Summer 2021","UHF 42","302","4","Central Harlem - Morningside Heights","28.5","27.2","29.6"
"Summer 2021","UHF 42","303","4","East Harlem","28.4","27.3","29.3"
"Summer 2021","UHF 42","304","4","Upper West Side","27.8","26.5","28.9"
"Summer 2021","UHF 42","305","4","Upper East Side","27.8","26.6","29.6"
"Summer 2021","UHF 42","306","4","Chelsea - Clinton","27.1","25.8","28.3"
"Summer 2021","UHF 42","307","4","Gramercy Park - Murray Hill","26.9","25.8","28.4"
"Summer 2021","UHF 42","308","4","Greenwich Village - SoHo","28.0","26.8","28.9"
"Summer 2021","UHF 42","309","4","Union Square - Lower East Side","28.3","27.0","29.7"
"Summer 2021","UHF 42","310","4","Lower Manhattan","28.0","26.6","29.3"
"Summer 2021","UHF 42","401","4","Long Island City - Astoria","29.2","26.7","30.7"
"Summer 2021","UHF 42","402","4","West Queens","29.2","25.9","31.1"
"Summer 2021","UHF 42","403","4","Flushing - Clearview","30.8","29.6","31.8"
"Summer 2021","UHF 42","404","4","Bayside - Little Neck","30.1","28.4","31.5"
"Summer 2021","UHF 42","405","4","Ridgewood - Forest Hills","30.5","29.0","32.0"
"Summer 2021","UHF 42","406","4","Fresh Meadows","30.5","29.3","31.7"
"Summer 2021","UHF 42","407","4","Southwest Queens","31.9","30.4","33.2"
"Summer 2021","UHF 42","408","4","Jamaica","31.0","29.5","32.3"
"Summer 2021","UHF 42","409","4","Southeast Queens","31.5","30.0","32.8"
"Summer 2021","UHF 42","410","4","Rockaways","34.8","33.4","36.6"
"Summer 2021","UHF 42","501","4","Port Richmond","28.6","27.3","29.8"
"Summer 2021","UHF 42","502","4","Stapleton - St. George","29.1","27.1","31.1"
"Summer 2021","UHF 42","503","4","Willowbrook","29.1","25.6","32.0"
"Summer 2021","UHF 42","504","4","South Beach - Tottenville","30.2","27.4","32.5"
"Summer 2020","UHF 42","101","4","Kingsbridge - Riverdale","28.5","27.0","29.8"
"Summer 2020","UHF 42","102","4","Northeast Bronx","30.8","29.8","31.8"
"Summer 2020","UHF 42","103","4","Fordham - Bronx Pk","30.2","29.1","31.2"
"Summer 2020","UHF 42","104","4","Pelham - Throgs Neck","32.0","30.7","33.4"
"Summer 2020","UHF 42","105","4","Crotona -Tremont","30.1","28.6","31.4"
"Summer 2020","UHF 42","106","4","High Bridge - Morrisania","30.1","29.1","31.0"
"Summer 2020","UHF 42","107","4","Hunts Point - Mott Haven","31.5","29.9","33.8"
"Summer 2020","UHF 42","201","4","Greenpoint","29.7","28.4","31.0"
"Summer 2020","UHF 42","202","4","Downtown - Heights - Slope","28.8","27.5","30.4"
"Summer 2020","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","29.2","28.3","29.9"
"Summer 2020","UHF 42","204","4","East New York","29.5","28.4","30.4"
"Summer 2020","UHF 42","205","4","Sunset Park","28.9","27.5","30.3"
"Summer 2020","UHF 42","206","4","Borough Park","29.4","28.4","30.2"
"Summer 2020","UHF 42","207","4","East Flatbush - Flatbush","29.5","28.7","30.1"
"Summer 2020","UHF 42","208","4","Canarsie - Flatlands","30.4","28.8","32.7"
"Summer 2020","UHF 42","209","4","Bensonhurst - Bay Ridge","29.8","28.4","31.2"
"Summer 2020","UHF 42","210","4","Coney Island - Sheepshead Bay","30.9","29.7","32.2"
"Summer 2020","UHF 42","211","4","Williamsburg - Bushwick","29.4","28.5","30.2"
"Summer 2020","UHF 42","301","4","Washington Heights","28.8","26.6","30.4"
"Summer 2020","UHF 42","302","4","Central Harlem - Morningside Heights","29.5","28.4","30.5"
"Summer 2020","UHF 42","303","4","East Harlem","30.2","29.3","31.0"
"Summer 2020","UHF 42","304","4","Upper West Side","29.0","27.9","29.9"
"Summer 2020","UHF 42","305","4","Upper East Side","29.3","28.1","31.0"
"Summer 2020","UHF 42","306","4","Chelsea - Clinton","27.8","26.3","29.6"
